cast,crew,date,playwright,playwright_formatted,playwright_formatted_long,run,season,title,type,venue,year_title
NA,NA,NA,Stuart Scott,by Stuart Scott,by Stuart Scott,1996-97 (Dates Unknown),In House,Housemates,show,Co-op Arts Theatre,1996-97
NA,NA,NA,Henrik Ibsen,by Henrik Ibsen,by Henrik Ibsen,2000-01 (Dates Unknown),In House,A Doll's House,show,New Theatre,2000-01
Sophie Bostock/David Grainger/,NA,NA,Tennessee Williams,by Tennessee Williams,by Tennessee Williams,2000-01 (Dates Unknown),In House,A Streetcar Named Desire,show,New Theatre,2000-01
NA,NA,NA,Peter Shaffer,by Peter Shaffer,by Peter Shaffer,2000-01 (Dates Unknown),In House,Black Comedy,show,New Theatre,2000-01
Jamie Griffiths/,NA,NA,null,Playwright Unknown,Playwright Unknown,2000-01 (Dates Unknown),In House,Breakfast Not Included,show,New Theatre,2000-01
Valmont/,NA,NA,Christopher Hampton,by Christopher Hampton,by Christopher Hampton,2000-01 (Dates Unknown),In House,Dangerous Liaisons,show,New Theatre,2000-01
Michael Longhurst/,NA,NA,Peter Shaffer,by Peter Shaffer,by Peter Shaffer,2000-01 (Dates Unknown),In House,Equus,show,New Theatre,2000-01
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,2000-01 (Dates Unknown),Edinburgh,In Bed With Sue Lawley,show,null,2000-01
Emily Hawkins/,NA,NA,Oscar Wilde,by Oscar Wilde,by Oscar Wilde,2000-01 (Dates Unknown),In House,Lady Windermere's Fan,show,New Theatre,2000-01
Ruth Wilson/James Browne/Nick Belcher/James Erskine/,Caroline Cracknell/,NA,null,Devised,Devised,2000-01 (Dates Unknown),Edinburgh,The Hush,show,null,2000-01
David Grainger/,NA,NA,Richard O'Brien,by Richard O'Brien,by Richard O'Brien,2000-01 (Dates Unknown),In House,The Rocky Horror Show,show,New Theatre,2000-01
Amy Goodall/Caroline Jones/Ged Pfeifer/Henry Filloux-Bennett/John Cuzick/Judith Thei/Michael Hyde/,Alexandra Turner/Mike Cook/Ben Richards/,2002-06-03,null,Devised,Devised,3 June 2002,In House,Age Concern,show,New Theatre,2001-02
NA,Robert Wicks/,2001-12-05,Christopher Isherwood/John Kander and Fred Ebb,by Christopher Isherwood/John Kander and Fred Ebb,by Christopher Isherwood/John Kander and Fred Ebb,5-8 December 2001,In House,Cabaret,show,Djanogly Theatre,2001-02
Martina Heron/Andrew Grant/,Alex Gilham/Sarah Ball/Kat Barnard/Stuart Andrews/Hannah Stevens/Judith Thei/Chris Brammeld/Sophie Wardell/Mike Pearson/Phil Pooley/David Wills/,2002-03-19,Willy Russell,by Willy Russell,by Willy Russell,19-22 March 2002,In House,Educating Rita,show,New Theatre,2001-02
Joseph Arkley/Katie Hartwill/Ali Sherriffs/Helen Townsend/Anneliese Mackintosh/Christopher Stephen/George Kaye/Ben Bergin/Stephanie Lane/Cat McCotter/Bush/,Lynette Shanbury/Alison Carr/Alison Griffiths/Mike Cook/Robert Wicks/Suzy Freake/,2002-03-06,Alan Bennett,by Alan Bennett,by Alan Bennett,6-9 March 2002,In House,Habeas Corpus,show,New Theatre,2001-02
Sam Taylor/,NA,2001-11-27,William Shakespeare,by William Shakespeare,by William Shakespeare,27-30 November 2001,In House,Hamlet,show,New Theatre,2001-02
